,sf_start,sf_end,sf_dur,sf_vol,sf_vol_ratio,sf_maxQ,sf_maxd,sf_peaks_num,sf_mgn,bfi,rf_vol,rf_vol_ratio,rf_maxQ,rf_maxd,rf_peaks_num,rf_periods_number,rf_duration_max,rf_duration_min,rf_duration_mean,sf_ratio,mar
1980,193.0,248.0,55.0,416.4376039601205,0.642251403921937,17.943034055932458,207.0,1.0,17.44573856765395,0.31697921717490357,50.71501096125992,0.07821528766865346,2.8163141229937505,334.0,3.0,1.0,22.0,22.0,22.0,0.604805495156443,1.7715923299585672
1981,171.0,219.0,48.0,225.42033096599963,0.36690156952383796,11.057556272029883,189.0,1.0,10.626924129665621,0.458212474297482,126.72779786783866,0.20626634581165096,9.832022195406065,357.0,13.0,5.0,21.0,1.0,10.4,0.33552117989086705,1.6832578521088286
1982,175.0,234.0,59.0,352.5885276801851,0.4854726533936705,10.558925268661095,187.0,2.0,10.225458722394762,0.42149733246060317,104.94886934506953,0.14450216632638285,7.05678568658051,0.0,8.0,8.0,20.0,2.0,6.5,0.434000501213014,1.9898051095037788
1983,171.0,232.0,61.0,279.3511803056617,0.43020657750438335,12.66714128518444,202.0,2.0,12.048564638426777,0.3973418723777847,133.83962312829527,0.20611577920486576,7.791256090763277,358.0,6.0,3.0,26.0,1.0,11.0,0.3965423484173496,1.779019056164404
1984,179.0,229.0,50.0,239.32258325197134,0.347914855355313,12.438845992037573,200.0,1.0,11.908891632094921,0.48552074290820685,140.50937271399513,0.20426529506572466,4.733540392199099,0.0,13.0,8.0,20.0,0.0,11.125,0.31021396202606843,1.879445011965556
1985,169.0,221.0,52.0,226.24571962655426,0.4521936207384627,8.37229810420876,189.0,2.0,8.002666581167775,0.4974662012230854,45.7772083908399,0.09149415796118103,2.8297759421241464,350.0,7.0,4.0,8.0,0.0,3.5,0.4110396408157336,1.3707652169790343
1986,169.0,226.0,57.0,273.2242095054084,0.47977724564445245,11.778015498671715,188.0,1.0,11.485494011419796,0.4166148840138205,81.95742219797356,0.14391589366638796,4.208084719281374,350.0,7.0,5.0,16.0,0.0,8.6,0.4394692223197915,1.5602229678306636
1987,178.0,240.0,62.0,388.86169632389533,0.6032807642070697,13.075383239248163,191.0,2.0,12.60273517731585,0.4000288332485422,45.04954542623767,0.0698899491743325,2.527081542993381,240.0,6.0,4.0,6.0,0.0,3.25,0.5300812175771252,1.76596797658005
1988,177.0,232.0,55.0,309.20491975167573,0.4525128596174223,14.329680238530983,200.0,2.0,14.00179982250582,0.4197596357509072,111.56462071672385,0.16327174093220173,4.929971114042397,328.0,9.0,7.0,20.0,0.0,8.142857142857142,0.416968623316891,1.8669572967011903
1989,182.0,225.0,43.0,157.36944446176383,0.35214145434255284,6.581381260175737,199.0,2.0,5.650543436648567,0.5566713695977972,60.90131405771341,0.13627726384245117,2.347426160308851,259.0,8.0,4.0,16.0,2.0,8.75,0.3070513665597516,1.2243635550205139
1990,169.0,207.0,38.0,148.39715762289475,0.29129121094926413,6.61214920170495,188.0,1.0,6.389165190255708,0.5337064461592617,106.43981491903008,0.20893245583429132,5.075609163905527,266.0,10.0,7.0,30.0,1.0,8.428571428571429,0.257361098006447,1.3957426103118258
1991,184.0,253.0,69.0,466.8709840461793,0.5857621625066028,16.50057168245951,202.0,3.0,15.852138193036165,0.35851403028911,78.1828726479963,0.09809255686949866,3.3998184967728946,315.0,12.0,10.0,9.0,0.0,4.5,0.5433934128413913,2.1836483615711004
1992,190.0,232.0,42.0,220.23593694878386,0.40661542469203654,10.657007461829384,202.0,1.0,9.976112147106937,0.4895657144643561,76.49848702752797,0.1412370080103237,3.145660084767956,271.0,10.0,5.0,17.0,2.0,8.8,0.36919727752532017,1.4798689279992172
1993,186.0,215.0,29.0,106.28733823620797,0.29057541047249896,6.399455932590872,197.0,1.0,6.13128123040796,0.6215170292844583,45.377924079324174,0.12405719377821109,2.332909747588594,364.0,7.0,5.0,4.0,0.0,1.6,0.2544257769373306,1.002143252503725
1994,194.0,237.0,43.0,378.60218548295006,0.4869076751846504,19.0143044100517,210.0,1.0,18.463319080406375,0.4517084475236132,96.32183621774948,0.12387630906692994,5.492979712284552,244.0,7.0,5.0,22.0,5.0,11.8,0.4244152434094568,2.1303140502021467
1995,181.0,237.0,56.0,397.41102122920245,0.5311153889307637,17.38735044895941,195.0,1.0,17.04435912337481,0.4087912944194535,82.56805079621071,0.11034712191988424,3.792375012118311,293.0,10.0,4.0,21.0,3.0,12.0,0.48086158366066223,2.0500202802033796
1996,181.0,234.0,53.0,381.22542685991175,0.5140263144057834,15.1510391302414,200.0,1.0,14.68940712011298,0.37691593449264493,108.35799995574527,0.14610479634691664,4.133974947978488,352.0,11.0,6.0,24.0,5.0,11.666666666666666,0.4769792691604384,2.0263544837072067
1997,173.0,219.0,46.0,245.1719866004829,0.4130743742962231,12.904944883030904,199.0,1.0,12.258951059563671,0.48846000562252695,87.32768587979785,0.1471327524148045,4.153638794312236,359.0,11.0,5.0,20.0,0.0,7.8,0.3644072419626685,1.6261092788010723
1998,168.0,228.0,60.0,252.96066009617684,0.5396569052952296,10.174679241342893,194.0,1.0,9.616243690093265,0.42560589953922096,39.09189613601396,0.08339720367136516,2.868122281625277,2.0,2.0,1.0,10.0,10.0,10.0,0.49099689678941394,1.2842287341694352
1999,174.0,222.0,48.0,220.02899571881164,0.31079149331405903,9.422053210258106,199.0,1.0,8.879822492232252,0.5242968619333503,163.90996296617845,0.23152322262295078,7.407689809020484,228.0,12.0,8.0,28.0,1.0,9.0,0.24417991544369888,1.939625695429676
2000,180.0,235.0,55.0,410.20879064849504,0.5326133055161386,14.154482810568993,191.0,3.0,13.917595843948913,0.4387828407159583,76.16902513614478,0.0988975301859557,4.436265902085268,0.0,11.0,4.0,20.0,5.0,11.75,0.462319629098086,2.1043204025884603
2001,190.0,244.0,54.0,336.32640235228473,0.5943445975539975,13.632979789529294,208.0,1.0,13.45008544731785,0.3748059362644556,40.68427174265201,0.07189586350207547,3.0132954701503585,331.0,5.0,1.0,12.0,12.0,12.0,0.553298200233469,1.5503500864945998
2002,176.0,224.0,48.0,342.49888474638385,0.53979037600994,17.769623995271992,194.0,1.0,17.426777378802804,0.4085022435639741,64.24244933483641,0.10124837605800989,3.354416678548407,229.0,11.0,8.0,10.0,0.0,4.375,0.4902493803780161,1.7383657630771139
2003,173.0,227.0,54.0,274.6935103909844,0.4248110182624683,12.42905735292078,203.0,2.0,12.022940830416049,0.45142869588912665,107.62957423544457,0.1664481587535013,5.221484334176745,358.0,10.0,7.0,18.0,0.0,8.285714285714286,0.382123145357372,1.7715758952144618
2004,178.0,220.0,42.0,193.13843832020075,0.2520939613210716,8.380189315899258,192.0,1.0,8.095292243137198,0.5518081779053454,193.4977796342348,0.2525629915985712,6.358831156239092,232.0,15.0,8.0,27.0,0.0,12.375,0.19562883049608337,2.093269701434856
2005,201.0,252.0,51.0,481.6032123058287,0.6439729130562694,23.69925166478179,212.0,1.0,23.275672731821967,0.3370568391419156,45.81785319912105,0.06126507390462727,3.0060583749702143,6.0,8.0,3.0,9.0,2.0,4.333333333333333,0.6016780869534571,2.0489384396158834
2006,188.0,234.0,46.0,442.60401833024673,0.4948586168506632,21.407066386776084,207.0,1.0,21.133708994999193,0.40532410683306297,129.54672299905502,0.14484123393795087,6.552845713477224,290.0,13.0,8.0,39.0,0.0,8.75,0.44983465922898613,2.450424641622296
2007,180.0,219.0,39.0,196.63641226740546,0.32448186144737173,9.57783591363405,201.0,1.0,9.396571369330456,0.5084092620160877,123.44638702927315,0.20370649052393722,4.26080171521043,223.0,15.0,7.0,26.0,0.0,10.142857142857142,0.2878842474599751,1.6602773856757056
2008,182.0,236.0,54.0,355.27120314114546,0.5364309207508668,16.969837753402846,200.0,2.0,16.268194551765443,0.4066317837980219,74.40894341902506,0.11235151534223523,3.2400636905441247,239.0,5.0,6.0,15.0,0.0,6.666666666666667,0.4810167008597429,1.8095272099927884
2009,179.0,246.0,67.0,478.3992002120501,0.5709384936291928,20.30256901584938,202.0,1.0,19.938255796147892,0.3496373873615792,97.21854437491471,0.11602404279445645,4.0750067905714635,302.0,9.0,4.0,30.0,9.0,14.5,0.5343385698439643,2.295663639660342
2010,182.0,239.0,57.0,412.8208420185498,0.46347264580032516,18.99644867811466,209.0,1.0,18.62035283164118,0.4113018643934674,155.6774940315935,0.17477862720687165,6.256699036157781,334.0,11.0,9.0,22.0,1.0,9.555555555555555,0.41391950839966096,2.440308000437075
2011,191.0,255.0,64.0,451.2576212259048,0.5683081368055204,19.45785067332184,208.0,1.0,19.245411478206858,0.3259917246624103,112.37353217151255,0.14152180415514146,5.053587465344559,311.0,4.0,4.0,27.0,6.0,14.5,0.5324864711824483,2.1754435135899977
2012,171.0,224.0,53.0,362.5985726228241,0.5643590164446701,13.908329004002946,192.0,1.0,13.710255902443077,0.3736664126430162,59.11133952795868,0.0920026165448447,3.588806192358185,1.0,4.0,4.0,12.0,1.0,6.0,0.5343309708121391,1.755454336172816
2013,187.0,248.0,61.0,589.0531793492853,0.6454073513207166,24.580761660998768,213.0,1.0,24.330547169244372,0.3069795127918474,83.7226172409554,0.09173228247204222,4.492336790104798,2.0,8.0,5.0,16.0,2.0,8.4,0.6012882047361104,2.500505027843089
2014,172.0,232.0,60.0,411.44895365144606,0.5890735655568603,18.061811197386614,193.0,1.0,17.634609089304266,0.38018199818850407,58.424843210763186,0.08364714602341737,3.4219664145457864,264.0,5.0,2.0,21.0,6.0,13.5,0.5361708557880785,1.9136105796881624
2015,177.0,248.0,71.0,488.8635965313061,0.6220991275143573,22.23888369358002,210.0,1.0,22.05362000412002,0.276980208237657,102.84794330713322,0.13087825776349532,5.878414678584776,336.0,5.0,3.0,35.0,0.0,17.0,0.5921415339988476,2.1529564341543637
2016,185.0,226.0,41.0,212.84696656299968,0.35637779644632583,11.579611364956415,194.0,1.0,10.818585583857663,0.4835049370158841,116.76195542865072,0.1954989965624447,5.609481513905194,299.0,7.0,3.0,23.0,4.0,16.333333333333332,0.3209960664216711,1.6318331129743426
